"english_name","arabic_name","iso3","iso2","phone_code","capital_english","capital_arabic","area_in_kilometer_square","currency","currency_name_en","currency_name_ar","currency_symbol","tld","region","subregion","timezones__zoneName","timezones__gmtOffset","timezones__gmtOffsetName","timezones__abbreviation","timezones__tzName","translations__kr","translations__br","translations__pt","translations__nl","translations__hr","translations__fa","translations__de","translations__es","translations__fr","translations__ja","translations__it","translations__cn","translations__tr","latitude","longitude","emoji","emojiU","governorates__id","governorates__name_en","governorates__name_ar","governorates__name_ar_tashkeel","governorates__phone_numbering_plan","governorates__capital_name_ar","governorates__capital_name_en","governorates__name_ar_normalized","governorates__name_en_normalized","governorates__districts__id","governorates__districts__name_en","governorates__districts__name_ar","governorates__districts__name_ar_tashkeel","governorates__districts__name_ar_normalized","governorates__districts__name_en_normalized"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Al-Tawilah","الطويلة","الطَّوِيْلَة","الطويله","Al Tawilah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Bni Sa'd","بني سعد","بَنِي سَعْد","بني سعد","Bni Sad"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Al-Rojom","الرجم","الرُّجُم","الرجم","Al Rojom"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Al-Mahweet","المحويت","المَحْوِيْت","المحويت","Al Mahweet"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Al-Mahweet City","مدينة المحويت","مَدِيْنَة المَحْوِيْت","مدينه المحويت","Al Mahweet City"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Shibam Kawkaban","شبام كوكبان","شِبَام كَوْكَبَان","شبام كوكبان","Shibam Kawkaban"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Hofash","حفاش","حُفَاش","حفاش","Hofash"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","Lahj","لحج","لَحْج","02","الحوطة","Al-Hotah","لحج","Lahj","1","Al-Had","الحد","الحَد","الحد","Al Had"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Al-Hotah","الحوطة","الحُوْطَة","الحوطه","Al Hotah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Al-Qabbaytah","القبيطة","القَبَّيْطَة","القبيطه","Al Qabbaytah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Al-Mosaimeer","المسيمير","المُسَيمِيْر","المسيمير","Al Mosaimeer"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Al-Madharaba and Al-A'ara","المضاربة والعارة","المَضَارِبَة وَالعَارَة","المضاربه والعاره","Al Madharaba and Al Aara"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Al-Muflhi","المفلحي","المُفْلِحِي","المفلحي","Al Muflhi"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Al-Maqatirah","المقاطرة","المَقَاطِرَة","المقاطره","Al Maqatirah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Al-Milah","الملاح","المَلَاح","الملاح","Al Milah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Tbn","تبن","تُبَن","تبن","Tbn"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Halimain","حالمين","حَالِمَيْن","حالمين","Halimain"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Hobail Jabr","حبيل جبر","حَبِيْل جَبْر","حبيل جبر","Hobail Jabr"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Radfan","ردفان","رَدْفَان","ردفان","Radfan"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Toor Al-Baha","طور الباحة","طُوْر البَاحَة","طور الباحه","Toor Al Baha"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Yafe'","يافع","يَافِع","يافع","Yafe"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Yahar","يهر","يَهَر","يهر","Yahar"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","Raimah","ريمة","رَيْمَة","03","الجبين","Al-Jabeen","ريمه","Raimah","1","Bilad Al-Ta'am","بلاد الطعام","بِلَاد الطَّعَام","بلاد الطعام","Bilad Al Taam"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Al-Salfiah","السلفية","السَّلْفِيَة","السلفيه","Al Salfiah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Al-Jabeen","الجبين","الجَبِيْن","الجبين","Al Jabeen"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Mizhir","مزهر","مِزْهِر","مزهر","Mizhir"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Kosmah","كسمة","كُسْمَة","كسمه","Kosmah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Al-ja'faria","الجعفرية","الجَعْفَرِيَّة","الجعفريه","Al jafaria"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","Socatra","سقطرى","سُقَطْرَى","05","حديبو","Hadibu","سقطرا","Socatra","1","Hadibu","حديبو","حَدِيْبُو","حديبو","Hadibu"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Qulansiyah and 'Abd-al-Kuri","قلنسية وعبد الكوري","قَلَنْسِيِّة وَعَبْد الكُوْرِي","قلنسيه وعبد الكوري","Qulansiyah and Abd al Kuri"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","Abyan","أبين","أَبْيَن","02","زنجبار","Zunjubar","ابين","Abyan","1","Mudiyah","مودية","مُوْدِيَة","موديه","Mudiyah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Al Mahfid","المحفد","المَحْفَد","المحفد","Al Mahfid"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Jayshan","جيشان","جَيْشَان","جيشان","Jayshan"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Lawdar","لودر","لَوْدَر","لودر","Lawdar"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Sabah","سباح","سَبَاح","سباح","Sabah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Rusud","رصد","رُصُد","رصد","Rusud"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Sarar","سرار","سَرَار","سرار","Sarar"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Al-Wadhi'","الوضيع","الوَضِيْع","الوضيع","Al Wadhi"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Ahwar","أحور","أَحْوَر","احور","Ahwar"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Zunjubar","زنجبار","زُنْجُبَار","زنجبار","Zunjubar"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Khanfar","خنفر","خَنْفَر","خنفر","Khanfar"
